,dataset,num_epochs,aug,train,group,log_suffix,Train_MSE,test_MSE,test_equivar_err,val_MSE,method
0,O5Synthetic,1000,False,30,O[5],trial0/,7.2438724600942805e-06,26.298758125305177,0.35917890071868896,32.92300987243652,MLP
1,O5Synthetic,1000,False,100,O[5],trial1/,0.015718825161457062,2.670747494697571,0.09496614336967468,2.644278407096863,MLP
2,O5Synthetic,1000,False,300,O[5],trial2/,0.012458566576242447,0.2340381234884262,0.023873111233115196,0.2775159031152725,MLP
3,O5Synthetic,900,False,1000,O[5],trial3/,0.047727569937705994,0.08812658488750458,0.01564984954893589,0.07933174073696136,MLP
4,O5Synthetic,300,False,3000,O[5],trial4/,0.05061511757473151,0.0614177793264389,0.009297124575823545,0.06115855276584625,MLP
5,O5Synthetic,90,False,10000,O[5],trial5/,0.05047931373119354,0.05465139076113701,0.008498134557157755,0.05398791283369064,MLP
6,O5Synthetic,30,False,30000,O[5],trial6/,0.06295409506807724,0.06547508388757706,0.013093602377921343,0.05942818708717823,MLP
7,Inertia,1000,False,30,O[3],trial7/,4.18361700837977e-08,13.499045467376709,0.3279360979795456,13.553972244262695,MLP
8,Inertia,1000,False,100,O[3],trial8/,0.0026841498911380768,7.8267981052398685,0.225532665848732,8.101929664611816,MLP
9,Inertia,1000,False,300,O[3],trial9/,0.27925601601600647,4.870512390136719,0.16353406012058258,4.710331439971924,MLP
10,Inertia,900,False,1000,O[3],trial10/,1.2317457795143127,3.2374541759490967,0.09932122752070427,3.2167446613311768,MLP
11,Inertia,300,False,3000,O[3],trial11/,0.02381718282898267,0.8314337313175202,0.07483970001339912,0.8783155083656311,MLP
12,Inertia,90,False,10000,O[3],trial12/,0.05430499464273453,0.1556581474840641,0.03369322046637535,0.16497818380594254,MLP
13,Inertia,30,False,30000,O[3],trial13/,0.08604273696740468,0.11847282126545906,0.02887555118650198,0.10689476504921913,MLP
14,ParticleInteraction,1000,False,30,Lorentz,trial14/,0.14847008883953094,0.7350014865398407,0.06120130233466625,0.6908407807350159,MLP
15,ParticleInteraction,1000,False,100,Lorentz,trial15/,1.3591870069503784,0.7308956265449524,0.047891074791550636,0.6811690628528595,MLP
16,ParticleInteraction,1000,False,300,Lorentz,trial16/,0.022978218272328377,0.6847582548856735,0.39613841474056244,0.6588703989982605,MLP
17,ParticleInteraction,900,False,1000,Lorentz,trial17/,0.0024637612514197826,0.3842054933309555,0.31342610716819763,0.45789581537246704,MLP
18,ParticleInteraction,300,False,3000,Lorentz,trial18/,0.0028349699762960276,0.051437169313430786,0.14094726741313934,0.056830234825611115,MLP
19,ParticleInteraction,90,False,10000,Lorentz,trial19/,0.0062909034546464685,0.017509785946458578,0.06178225390613079,0.022570468485355377,MLP
20,ParticleInteraction,30,False,30000,Lorentz,trial20/,0.009897075298552712,0.01314328219741583,0.06451424024999142,0.02381847845390439,MLP
21,O5Synthetic,1000,True,30,O[5],trial21/,0.1970248967409134,0.4581791549921036,0.03412592224776745,0.4483959376811981,MLP+Aug
22,O5Synthetic,1000,True,100,O[5],trial22/,0.5632688403129578,0.3157015532255173,0.03786129131913185,0.36432357132434845,MLP+Aug
23,O5Synthetic,1000,True,300,O[5],trial23/,0.10817379504442215,0.1070653572678566,0.02026707213371992,0.1133718229830265,MLP+Aug
24,O5Synthetic,900,True,1000,O[5],trial24/,0.06980913504958153,0.05836067870259285,0.009596953634172678,0.05627141706645489,MLP+Aug
25,O5Synthetic,300,True,3000,O[5],trial25/,0.08869577447573344,0.0854022815823555,0.011858124751597643,0.0770612508058548,MLP+Aug
26,O5Synthetic,90,True,10000,O[5],trial26/,0.07237217761576176,0.07111335396766663,0.011682946234941483,0.07086889445781708,MLP+Aug
27,O5Synthetic,30,True,30000,O[5],trial27/,0.059583976057668527,0.05938257724046707,0.010151844006031752,0.05578787811100483,MLP+Aug
28,Inertia,1000,True,30,O[3],trial28/,0.2762189209461212,4.637413549423218,0.09881990775465965,4.807018995285034,MLP+Aug
29,Inertia,1000,True,100,O[3],trial29/,0.17674784362316132,1.7623468160629272,0.05502614751458168,1.4849724173545837,MLP+Aug
30,Inertia,1000,True,300,O[3],trial30/,0.1064547747373581,0.4533297628164291,0.037509648129343987,0.404795378446579,MLP+Aug
31,Inertia,900,True,1000,O[3],trial31/,0.06449627690017223,0.13068893253803254,0.02494206465780735,0.11894034966826439,MLP+Aug
32,Inertia,300,True,3000,O[3],trial32/,0.08002967884143193,0.11135817915201188,0.024497072212398052,0.11772719770669937,MLP+Aug
33,Inertia,90,True,10000,O[3],trial33/,0.10309975408017635,0.11869821399450302,0.02657636534422636,0.11796984449028969,MLP+Aug
34,Inertia,30,True,30000,O[3],trial34/,0.10546989018718401,0.10228463858366013,0.027573381550610065,0.09861673042178154,MLP+Aug
35,ParticleInteraction,1000,True,30,Lorentz,trial35/,0.03685877099633217,0.6156082063913345,0.19393037259578705,0.557232677936554,MLP+Aug
